,Femme,Homme,Age1,Age2,Age3,Age4,Age5,Age6
maxilo,1,0,0,1,0,0,0,0
maximal,1,0,0,0,0,0,1,0
maxime,3,1,1,1,0,2,0,0
maximum,7,2,2,1,2,0,1,3
maxmara,1,0,0,0,0,0,0,1
mayas,1,0,0,0,0,0,1,0
maybe,5,2,3,1,0,1,0,2
maydé,2,0,0,0,0,2,0,0
mayo,6,2,4,0,0,4,0,0
mayridis,0,1,1,0,0,0,0,0
mazamet,4,0,0,4,0,0,0,0
mazan,0,2,2,0,0,0,0,0
mazet,2,0,0,0,0,2,0,0
mazo,5,0,0,0,0,4,0,1
mazout,0,1,0,0,0,0,0,1
maì,0,2,1,0,0,0,0,1
maìs,1,4,0,0,1,0,4,0
maìson,1,0,1,0,0,0,0,0
maître,4,2,1,1,0,2,0,2
maîtresse,0,1,0,0,0,0,0,1
maïre,1,0,0,0,0,0,0,1
mañana,2,0,0,1,0,1,0,0
mb,1,0,0,1,0,0,0,0
mbouré,1,0,0,0,0,0,1,0
mc,44,6,8,11,3,4,2,22
mc2,0,1,1,0,0,0,0,0
mcaches,0,1,0,1,0,0,0,0
mcc,5,0,0,0,0,5,0,0
mcdo,13,7,8,3,2,3,4,0
mcdonald,0,1,0,0,0,0,1,0
mcherche,0,1,0,0,1,0,0,0
mci,1,1,1,0,0,1,0,0
mcoucher,1,0,0,0,0,0,0,1
md,2,0,0,0,0,2,0,0
md1,1,0,0,0,0,1,0,0
mda,1,0,1,0,0,0,0,0
mdame,4,0,0,4,0,0,0,0
mddr,1,0,0,0,0,1,0,0
mddrrrr,1,0,0,1,0,0,0,0
mddtt,0,1,1,0,0,0,0,0
mde,3,0,0,0,0,1,0,2
mdemandes,0,1,0,1,0,0,0,0
mdemange,1,0,0,0,0,0,1,0
mderange,2,0,0,1,1,0,0,0
mdf,14,0,0,0,0,14,0,0
mdi,3,3,2,0,1,0,0,3
mdiiis,1,0,0,0,1,0,0,0
mdir,1,0,0,0,0,0,1,0
mdira,2,0,1,0,0,0,1,0
mdiras,2,0,0,0,2,0,0,0
mdire,3,0,3,0,0,0,0,0
mdis,6,3,1,2,2,0,2,2
mdisant,0,1,0,1,0,0,0,0
mdise,1,0,1,0,0,0,0,0
mdit,1,0,0,0,1,0,0,0
mdjgajaja,1,0,1,0,0,0,0,0
mdl,15,0,14,0,0,0,0,1
mdmandè,1,0,1,0,0,0,0,0
mdois,0,1,0,0,0,0,0,1
mdonner,1,0,1,0,0,0,0,0
mdoucher,1,0,1,0,0,0,0,0
mdp,0,4,2,1,0,0,0,1
mdr,2741,719,582,864,302,1041,578,93
mdrl,1,0,0,0,0,1,0,0
mdrr,316,103,75,197,14,57,58,18
mdrre,1,0,0,1,0,0,0,0
mdrrr,628,44,25,63,3,155,42,384
mdrrrr,97,5,5,27,5,21,3,41
mdrrrrr,24,2,3,15,0,4,3,1
mdrrrrrr,7,2,2,4,0,0,3,0
mdrrrrrrr,5,2,3,3,0,0,1,0
mdrrrrrrrr,2,1,2,1,0,0,0,0
mdrrrrrrrrr,3,0,1,2,0,0,0,0
mdrrrrrrrrrr,0,2,1,1,0,0,0,0
mdrrrrrrrrrrr,1,0,0,1,0,0,0,0
mdrrrrrrrrrrrr,1,0,0,1,0,0,0,0
mdrrrrrrrrrrrrr,0,1,1,0,0,0,0,0
mdrrrrrrrrrrrrrrrr,1,0,0,1,0,0,0,0
mdrrrrrrrrrrrrrrrrr,0,1,1,0,0,0,0,0
mdrrrrrrrrrrrrrrrrrrrr,1,0,0,1,0,0,0,0
mdrtrop,1,0,0,1,0,0,0,0
mdt,4,0,0,4,0,0,0,0
mea,0,1,1,0,0,0,0,0
mean,2,0,0,0,0,2,0,0
mec,310,118,104,112,38,72,55,47
mecano,2,0,0,0,0,1,1,0
mechaaaaaaante,1,0,0,1,0,0,0,0
mechaant,1,0,0,1,0,0,0,0
mechamment,1,0,0,0,0,1,0,0
mechan,3,0,1,0,1,0,1,0
mechande,1,0,0,1,0,0,0,0
mechant,15,0,4,6,0,1,3,1
mechante,12,1,2,4,0,2,3,2
mechantes,1,0,0,0,0,0,1,0
mechants,0,1,1,0,0,0,0,0
meches,5,0,0,2,0,2,0,1
meci,1,0,1,0,0,0,0,0
meclate,0,2,0,0,2,0,0,0
mecontentement,1,0,0,0,0,1,0,0
mecoute,0,1,0,0,0,0,1,0
mecoutes,1,0,1,0,0,0,0,0
mecrase,1,0,0,0,1,0,0,0
mecreandes,1,0,0,1,0,0,0,0
mecs,47,16,8,18,11,13,2,11
mecton,1,0,0,0,1,0,0,0
med,1,1,0,0,0,1,0,1
medailler,1,0,0,0,0,1,0,0
medecin,13,3,2,4,2,0,1,7
medecine,3,1,0,2,1,1,0,0
medecinnn,1,0,0,0,1,0,0,0
medecins,1,0,0,1,0,0,0,0
media,2,0,0,0,2,0,0,0
medias,1,0,0,0,1,0,0,0
mediateke,1,0,1,0,0,0,0,0
mediateque,1,0,0,1,0,0,0,0
mediatheque,2,0,0,1,1,0,0,0
mediatisé,1,0,0,1,0,0,0,0
medical,3,1,1,2,0,0,1,0
medicale,1,1,0,1,1,0,0,0
medicament,1,0,0,0,0,1,0,0
medicaments,1,0,0,0,0,0,0,1
medicaux,1,0,0,0,0,0,0,1
medie,1,0,0,0,0,1,0,0
medikaments,1,0,0,0,0,0,0,1
medium,4,0,0,3,0,0,1,0
medoc,12,5,2,5,0,2,8,0
medocs,5,0,0,1,1,3,0,0
medovs,0,1,1,0,0,0,0,0
mee,1,0,0,0,0,1,0,0
meeeeci,1,0,0,0,0,0,0,1
meeeeee,1,0,0,0,1,0,0,0
meeeeerci,1,0,0,0,0,1,0,0
meeeeerde,1,0,0,0,1,0,0,0
meeeeme,2,0,1,1,0,0,0,0
meeeerde,2,0,1,0,1,0,0,0
meeerde,2,0,1,1,0,0,0,0
meeeuf,1,0,0,1,0,0,0,0
meem,1,0,0,1,0,0,0,0
meerde,1,0,0,1,0,0,0,0
meet,4,1,1,1,1,1,0,1
meetic,1,1,0,2,0,0,0,0
meeting,0,7,0,0,0,0,0,7
meetings,2,0,0,2,0,0,0,0
meetz,1,0,0,0,0,1,0,0
meeuf,1,0,0,1,0,0,0,0
meeuhh,1,0,0,1,0,0,0,0
mefier,1,0,1,0,0,0,0,0
mefu,0,1,1,0,0,0,0,0
mega,19,2,1,10,6,0,3,1
megagaga,1,0,0,0,1,0,0,0
megaminx,0,1,0,0,1,0,0,0
megan,1,0,0,0,0,1,0,0
megaupload,0,1,0,1,0,0,0,0
mehringdamm,1,0,0,0,0,1,0,0
mei,1,0,1,0,0,0,0,0
meiieux,1,0,0,0,0,0,1,0
meiko,2,0,0,0,0,0,2,0
meilleur,56,24,20,17,6,11,12,14
meilleure,46,7,15,8,2,12,6,10
meilleures,8,5,3,4,2,2,1,1
meilleurs,14,6,1,7,0,4,3,5
meine,1,0,0,0,0,0,0,1
meininger,1,0,0,0,0,1,0,0
meiose,1,0,0,1,0,0,0,0
mejm,1,0,1,0,0,0,0,0
mejor,1,0,0,0,0,0,1,0
mek,3,0,3,0,0,0,0,0
mekiii,0,1,1,0,0,0,0,0
mektoub,0,1,0,1,0,0,0,0
mel,3,0,0,0,0,2,1,0
mel_16,1,2,1,1,1,0,0,0
mel_17,0,2,0,1,0,0,0,1
mel_18,2,0,0,0,2,0,0,0
mel_20,2,0,0,0,0,1,0,1
mel_21,0,1,0,0,0,0,1,0
mel_22,1,1,0,0,0,0,0,2
mel_23,0,2,2,0,0,0,0,0
mel_24,2,0,0,1,1,0,0,0
mel_25,5,0,0,3,0,1,0,1
mel_27,0,1,0,0,0,0,0,1
mel_30,2,0,0,0,0,2,0,0
mel_31,1,0,0,0,0,1,0,0
mel_47,0,1,0,0,0,0,0,1
melacool,1,0,1,0,0,0,0,0
melancholia,1,0,0,1,0,0,0,0
melanchon,1,0,0,0,0,1,0,0
melange,6,0,1,3,1,0,0,1
melanger,1,1,0,0,1,0,1,0
melbourne,1,0,0,0,0,0,0,1
mele,2,1,0,3,0,0,0,0
melee,0,1,1,0,0,0,0,0
meler,3,1,1,0,0,3,0,0
melodramatique,1,0,0,0,0,0,1,0
melon,0,1,0,0,0,0,0,1
melons,1,0,0,0,0,0,0,1
mem,19,2,1,0,0,1,5,14
memage,0,1,1,0,0,0,0,0
membete,0,2,0,0,0,0,2,0
membeter,1,0,0,0,0,0,1,0
membranes,0,1,0,1,0,0,0,0
membre,3,2,0,0,0,1,3,1
membres,1,4,0,0,0,1,3,1
membrouille,1,0,0,0,0,0,1,0
memd,0,1,0,0,0,0,0,1
meme,1501,426,417,494,155,330,358,173
memeeeeeeeeee,1,0,0,0,1,0,0,0
memes,15,6,6,4,4,0,6,1
memeuuu,1,0,0,0,1,0,0,0
memmene,0,1,0,0,0,0,1,0
memmener,0,3,0,0,0,0,3,0
memoir,1,0,0,1,0,0,0,0
memoire,10,2,1,2,1,5,1,2
memorable,0,1,0,0,0,1,0,0
men,52,29,24,13,3,2,29,10
menace,3,1,0,1,1,1,1,0
menacer,2,0,0,1,1,0,0,0
menage,8,0,0,1,0,3,2,2
menagement,1,0,0,0,0,0,0,1
menagere,1,0,0,0,0,0,1,0
menaçant,1,0,0,0,0,0,1,0
mende,0,2,0,0,1,0,0,1
mendiant,1,0,0,0,0,1,0,0
mendiante,0,1,1,0,0,0,0,0
mendor,1,0,0,0,0,1,0,0
mendormir,1,0,0,1,0,0,0,0
mendors,0,1,0,0,0,0,1,0
mendort,1,0,0,1,0,0,0,0
mene,4,0,0,2,1,1,0,0
mener,5,0,0,0,1,3,1,0
menerve,1,3,0,0,0,0,3,1
menerver,1,2,0,0,1,0,2,0
menfin,2,0,0,2,0,0,0,0
mengager,0,1,0,1,0,0,0,0
mengeul,0,1,0,0,0,0,1,0
mengueul,2,0,0,0,0,0,2,0
mengueule,1,0,1,0,0,0,0,0
mengueuler,1,0,0,0,0,0,1,0
menilmontant,1,0,0,0,1,0,0,0
meninges,1,0,0,0,1,0,0,0
menleve,0,1,1,0,0,0,0,0
menlever,2,0,1,0,0,0,1,0
menmener,1,0,0,0,1,0,0,0
menmenera,1,0,0,0,0,0,0,1
menmerde,0,1,1,0,0,0,0,0
mennerve,1,0,0,1,0,0,0,0
mennuier,1,1,0,1,0,0,1,0
mennuiiiiiiiiiiie,1,0,0,1,0,0,0,0
menopause,1,0,0,0,0,0,1,0
menottes,1,0,0,0,0,0,1,0
mens,41,2,2,3,0,35,3,0
mensonge,5,1,1,3,0,2,0,0
mensonges,2,0,0,1,0,0,1,0
menssonge,2,0,2,0,0,0,0,0
mensualités,1,0,0,0,0,0,0,1
mensuel,1,1,0,0,0,0,0,2
ment,10,5,1,4,4,1,2,3
mentais,1,0,0,0,0,1,0,0
mental,3,4,1,1,0,0,3,2
mentale,1,0,0,0,1,0,0,0
mentalement,2,0,0,0,0,2,0,0
mentalist,8,1,1,3,0,1,1,3
mentaliste,0,1,0,0,0,0,1,0
mentalite,1,0,0,0,0,0,0,1
mentalité,4,1,1,1,1,0,1,1
mentallement,1,0,0,1,0,0,0,0
mentaux,0,1,0,0,0,0,1,0
mente,1,1,0,0,1,0,1,0
mentend,0,2,0,0,0,0,2,0
mentendre,0,1,0,0,0,0,1,0
mentent,1,0,0,0,0,0,0,1
menteur,8,1,4,1,1,0,3,0
menteurs,2,0,0,0,1,0,0,1
menteuse,5,2,3,1,0,3,0,0
menthe,2,2,2,0,0,0,2,0
menthol,0,2,0,0,1,0,0,1
menti,12,3,3,3,2,6,0,1
mention,1,5,1,0,0,0,5,0
mentionné,1,0,0,0,0,0,1,0
mentir,13,3,0,3,3,5,2,3
mentis,1,0,0,0,0,0,0,1
menton,1,0,0,0,0,1,0,0
mentor,2,0,0,1,0,1,0,0
mentraine,0,1,0,0,1,0,0,0
mentretenir,0,1,0,0,0,0,1,0
ments,1,0,0,1,0,0,0,0
menu,12,3,1,0,0,2,7,5
menuiserie,1,0,0,0,0,1,0,0
menus,1,1,1,0,1,0,0,0
menverra,1,0,1,0,0,0,0,0
menverrai,1,0,1,0,0,0,0,0
menvoi,1,0,0,0,0,0,1,0
menvoie,0,3,1,2,0,0,0,0
menvoies,1,0,0,1,0,0,0,0
menvois,1,2,1,0,0,0,2,0
menvoler,1,0,0,0,0,0,1,0
menvoyer,6,4,2,2,2,0,3,1
menvoyè,1,0,0,0,0,0,0,1
mené,6,0,0,0,0,1,3,2
menés,1,0,0,0,0,0,0,1
mephy,1,0,0,0,1,0,0,0
mepris,1,0,0,0,0,0,0,1
mer,44,10,5,3,2,7,25,12
merad,1,1,2,0,0,0,0,0
merc,2,1,1,0,0,0,0,2
merca,3,0,0,3,0,0,0,0
mercedes,1,0,0,0,1,0,0,0
merchhi,1,0,0,0,1,0,0,0
merchi,2,0,1,0,0,0,1,0
merchiii,1,0,0,1,0,0,0,0
merci,1675,439,282,512,133,394,240,553
mercibisous,3,0,0,0,0,0,0,3
mercii,9,4,6,5,1,0,1,0
merciii,9,1,1,5,0,4,0,0
merciiii,6,1,3,0,2,2,0,0
merciiiii,7,0,0,2,2,1,2,0
merciiiiii,1,0,0,0,0,1,0,0
merciiiiiii,7,1,0,0,0,0,0,8
merciiiiiiii,1,0,0,1,0,0,0,0
merciiix,1,0,0,0,0,1,0,0
mercis,1,1,0,0,0,0,0,2
merciu,1,0,0,0,0,0,1,0
mercr,1,0,0,0,0,0,0,1
mercred,2,0,2,0,0,0,0,0
mercredai,1,0,0,0,0,1,0,0
mercredi,325,90,69,54,47,88,61,96
mercredis,2,0,0,1,0,1,0,0
mercvredi,1,0,0,1,0,0,0,0
merd,12,0,2,0,3,1,3,3
merda,1,0,0,0,0,0,0,1
merdasse,1,0,0,0,0,0,0,1
merde,421,148,98,139,46,90,104,92
merdee,1,3,3,1,0,0,0,0
merdeee,0,1,1,0,0,0,0,0
merdeeeeuuuuhhhh,0,1,1,0,0,0,0,0
merdes,2,2,2,1,0,0,1,0
merdeuse,1,0,0,0,0,0,0,1
merdeux,1,0,0,1,0,0,0,0
merdier,1,0,0,0,0,0,1,0
merdique,4,3,2,1,0,2,1,1
merdiques,0,3,3,0,0,0,0,0
merdouille,6,0,0,0,1,5,0,0
merdre,0,1,0,0,0,0,0,1
merdum,0,1,0,0,0,0,0,1
merdé,3,1,0,3,0,0,0,1
mere,148,30,54,62,10,9,15,28
merge,2,0,0,0,2,0,0,0
mergez,1,0,0,0,0,0,1,0
mergi,1,0,0,0,1,0,0,0
merguez,3,0,0,0,3,0,0,0
meriadek,1,0,1,0,0,0,0,0
meribel,0,1,0,0,1,0,0,0
mericano,1,0,0,0,0,1,0,0
meritais,1,0,0,1,0,0,0,0
meritante,1,0,0,0,0,1,0,0
merite,5,0,0,5,0,0,0,0
meriterais,0,1,0,0,0,0,1,0
merites,3,0,0,3,0,0,0,0
merité,2,0,0,1,0,1,0,0
merki,3,3,0,0,1,2,1,2
merkiii,0,1,1,0,0,0,0,0
merkiiiii,1,0,0,0,0,0,1,0
merle,0,1,0,0,0,0,0,1
merlin,0,1,0,0,0,0,1,0
mermoz,1,0,0,0,0,1,0,0
merr,1,0,0,1,0,0,0,0
merveille,6,1,0,4,0,1,0,2
merveilles,1,0,0,0,0,1,0,0
merveilleuse,1,0,0,0,1,0,0,0
merveilleuses,2,0,0,1,0,0,0,1
merveilleux,11,0,2,3,1,1,0,4
merveilleyse,1,0,1,0,0,0,0,0
merxi,1,0,0,0,0,0,1,0
meryl,2,0,0,0,0,2,0,0
mesage,3,2,2,1,0,0,0,2
mesaju,1,0,0,0,1,0,0,0
mesaventures,1,0,0,0,0,0,1,0
mesdemoiselles,0,1,0,1,0,0,0,0
mesnil,1,0,1,0,0,0,0,0
mess,40,1,19,1,2,3,9,7
message,371,179,76,119,88,78,80,109
messagee,1,0,0,1,0,0,0,0
messager,1,0,1,0,0,0,0,0
messagerie,10,2,1,4,1,2,2,2
messages,97,34,17,33,20,28,16,17
messaggggge,1,0,0,0,0,0,1,0
messagé,0,1,0,0,0,0,1,0
messe,12,0,0,5,0,5,0,2
messenger,1,0,0,0,0,1,0,0
messges,0,1,0,1,0,0,0,0
messi,0,1,1,0,0,0,0,0
messieurs,1,1,1,0,0,0,0,1
mest,1,0,0,0,0,0,1,0
mesur,1,0,0,0,0,0,1,0
mesure,14,6,2,4,0,1,5,8
mesurent,1,0,0,0,0,0,1,0
mesurer,0,2,0,0,0,0,0,2
mesures,4,3,2,1,0,1,1,2
met,172,49,57,49,17,46,37,15
metai,1,0,0,0,0,0,0,1
metais,1,1,1,0,0,0,1,0
metal,2,0,0,1,0,1,0,0
metalica,1,0,1,0,0,0,0,0
metallica,0,1,1,0,0,0,0,0
metaphore,1,0,0,1,0,0,0,0
mete,3,0,0,1,0,0,0,2
meteo,5,1,0,3,0,0,1,2
metering,0,1,0,0,0,0,0,1
methode,9,1,1,6,2,1,0,0
methodologie,1,0,0,1,0,0,0,0
metier,3,0,0,1,2,0,0,0
metiers,0,2,0,0,0,0,2,0
metisses,1,0,1,0,0,0,0,0
metone,2,0,0,0,0,0,2,0
metonne,1,2,2,0,0,0,1,0
metonnerai,1,2,2,0,1,0,0,0
metr,3,0,0,0,0,1,2,0
metra,1,0,1,0,0,0,0,0
metre,10,1,1,2,0,0,0,8
metres,0,2,2,0,0,0,0,0
metrise,0,1,0,0,0,0,1,0
metro,10,3,5,3,3,1,0,1
metronomy,2,0,0,0,0,1,0,1
metropol,1,0,0,0,0,1,0,0
metré,1,0,0,0,0,0,1,0
mets,81,28,20,35,7,26,6,15
mett,1,0,0,0,1,0,0,0
mettaient,1,0,0,0,0,0,1,0
mettais,7,2,0,4,2,2,0,1
mettait,4,2,2,1,0,3,0,0
mettant,4,4,2,1,0,0,3,2
mette,28,7,7,8,1,4,10,5
mettee,1,0,0,0,1,0,0,0
mettent,12,5,2,4,3,3,5,0
mettes,3,1,1,1,1,1,0,0
mettez,5,1,1,2,0,0,1,2
mettons,4,1,1,0,0,0,1,3
mettr,2,0,0,0,0,0,2,0
mettra,10,2,1,3,0,2,1,5
mettrai,13,1,2,2,0,1,5,4
mettrais,8,0,0,3,2,3,0,0
mettrait,2,1,0,0,1,2,0,0
mettras,2,1,0,2,0,0,1,0
mettre,258,73,54,70,28,66,67,46
mettres,1,0,0,0,0,0,0,1
mettro,1,0,0,0,0,1,0,0
mettron,1,0,0,0,0,0,1,0
mettrons,1,0,0,0,0,0,0,1
mettront,1,0,0,0,0,0,0,1
mettrr,1,0,0,0,0,0,1,0
metz,2,2,0,0,0,1,2,1
meuble,15,2,6,0,1,6,0,4
meubler,1,0,0,0,0,0,0,1
meubles,17,1,2,0,0,11,0,5
meuf,215,28,79,54,7,86,16,1
meuff,1,0,0,1,0,0,0,0
meufffs,1,0,1,0,0,0,0,0
meufs,14,7,4,7,1,6,1,2
meuglaient,1,0,0,1,0,0,0,0
meuh,5,1,1,3,1,0,0,1
meumeu,1,0,0,0,0,0,0,1
meurchi,1,0,1,0,0,0,0,0
meurs,11,1,3,3,2,3,0,1
meurt,7,0,0,0,1,4,1,1
meurtr,2,0,0,0,0,0,2,0
meurtre,6,1,1,2,0,2,2,0
meurtres,1,0,0,0,0,0,0,1
meurtrieres,0,1,1,0,0,0,0,0
meute,1,0,0,0,0,1,0,0
meuuf,1,0,1,0,0,0,0,0
meuuuuf,1,0,1,0,0,0,0,0
meviter,1,0,1,0,0,0,0,0
mex,4,0,0,2,0,0,2,0
mexicain,1,0,0,0,0,0,1,0
mexicaine,1,0,0,0,1,0,0,0
mexicains,2,0,1,0,0,0,1,0
mexico,1,0,0,0,0,0,1,0
mexique,6,0,2,1,0,0,1,2
mexister,0,1,0,0,0,0,1,0
mexplique,0,3,1,0,0,0,2,0
mexpliquer,2,2,1,1,0,0,2,0
mezcal,1,0,0,0,0,0,1,0
mezzanine,2,0,0,0,0,0,2,0
mezzannine,1,0,0,0,0,0,0,1
mezzo,3,0,1,0,1,0,0,1
mfaaaaire,1,0,0,0,1,0,0,0
mfai,2,0,1,0,1,0,0,0
mfaire,4,2,2,1,3,0,0,0
mfais,2,2,2,2,0,0,0,0
mfait,2,3,0,4,1,0,0,0
mfaut,1,0,1,0,0,0,0,0
mferait,1,0,0,0,0,0,0,1
mfou,1,0,0,0,0,0,1,0
mfr,2,0,0,0,0,1,1,0
mfè,1,0,0,0,0,0,1,0
mg,2,0,0,0,2,0,0,0
mgen,1,0,0,0,0,0,0,1
mginon,1,0,0,0,0,1,0,0
mgroup,1,0,0,0,0,0,1,0
mh,7,0,0,7,0,0,0,0
mhabile,1,0,0,0,0,1,0,0
mhabille,1,0,1,0,0,0,0,0
mheberge,0,1,0,0,0,0,1,0
mhsc,0,1,0,0,0,0,0,1
mi,67,13,18,5,10,13,7,27
miam,18,2,2,4,0,5,5,4
miameurs,1,0,0,0,0,0,0,1
miami,3,0,0,0,0,1,1,1
miaouss,1,0,0,0,0,0,1,0
miaouuu,1,0,0,1,0,0,0,0
miaulait,1,0,1,0,0,0,0,0
miaule,2,0,0,1,0,0,1,0
miauler,1,0,0,0,0,0,0,1
miaulé,1,0,0,1,0,0,0,0
mica,1,0,0,0,0,0,0,1
mich,2,0,0,1,1,0,0,0
michael,1,0,0,0,0,0,1,0
miche,1,0,0,0,0,1,0,0
michel,5,2,0,1,1,3,1,1
michelin,1,0,0,0,0,0,0,1
michig,1,0,1,0,0,0,0,0
mici,7,0,2,0,1,1,0,3
mickael,1,0,0,0,0,0,0,1
mickey,2,0,0,0,0,0,0,2
mico,1,0,0,0,0,1,0,0
micr,0,1,0,0,0,0,0,1
micra,1,0,0,0,0,1,0,0
micro,14,4,0,11,2,0,5,0
microbe,1,0,0,0,0,0,1,0
microbes,3,0,1,0,0,0,0,2
microeco,2,0,0,2,0,0,0,0
microeconomie,1,0,0,1,0,0,0,0
micrologik,1,0,0,0,0,1,0,0
micromania,1,1,1,0,0,1,0,0
microsft,0,1,0,0,1,0,0,0
microsoft,1,0,0,0,0,1,0,0
midi,462,108,44,112,52,88,142,132
midi30,1,0,0,0,1,0,0,0
midias,1,0,0,0,0,0,0,1
midiavk,1,0,0,0,0,0,0,1
midnight,1,0,0,0,0,1,0,0
mie,1,4,1,0,0,0,3,1
miei,2,0,0,0,0,0,0,2
miek,1,0,0,0,0,1,0,0
miel,18,2,2,0,1,8,7,2
miellerie,1,0,0,0,0,1,0,0
mielleusd,1,0,0,0,0,1,0,0
mielleuse,5,0,0,0,0,5,0,0
mielleux,3,0,0,0,0,3,0,0
miemn,1,0,0,1,0,0,0,0
mien,49,8,5,11,5,17,10,9
miene,1,0,1,0,0,0,0,0
mienne,32,12,8,6,2,8,11,9
miennes,6,1,3,0,0,0,2,2
miens,9,6,2,7,1,1,3,1
miercoles,1,0,0,0,0,0,1,0
mierda,4,0,0,2,0,1,1,0
miette,1,0,0,1,0,0,0,0
mieu,78,16,51,21,8,4,2,8
mieux,710,172,97,151,78,212,164,180
mieuxnous,1,0,0,0,0,1,0,0
mievrerie,1,0,0,0,0,1,0,0
mifa,0,1,1,0,0,0,0,0
mig,5,0,0,1,0,1,3,0
migneeeeeuuu,1,0,0,1,0,0,0,0
migneuuuuuuuu,1,0,0,1,0,0,0,0
mignnone,1,0,0,0,0,0,0,1
mignon,121,14,23,25,6,41,26,14
mignone,5,1,5,0,0,1,0,0
mignones,2,0,1,1,0,0,0,0
mignonne,23,1,2,3,1,14,2,2
mignonnne,1,0,0,0,0,1,0,0
mignons,9,0,0,4,0,2,1,2
mignoon,2,0,0,2,0,0,0,0
mignooon,1,0,0,1,0,0,0,0
mignore,1,0,1,0,0,0,0,0
migraine,7,0,0,0,0,1,4,2
miho,1,0,0,0,0,0,1,0
mii,1,0,0,0,0,0,1,0
miieux,2,0,0,0,2,0,0,0
miiignon,1,0,0,0,0,1,0,0
miiiiaaaaam,1,0,0,0,0,0,1,0
miince,1,0,0,1,0,0,0,0
mijoté,0,1,0,0,0,0,1,0
mika,1,0,0,0,0,0,1,0
mikado,1,0,0,0,0,1,0,0
mike,3,0,0,0,0,0,1,2
mikkelsen,0,1,0,0,0,1,0,0
mikmik,2,0,0,0,2,0,0,0
miko,1,0,0,0,0,0,1,0
mila,1,0,0,0,0,1,0,0
milano,1,0,0,0,0,0,0,1
mile,1,1,1,0,0,0,0,1
mileur,1,0,0,0,0,0,1,0
milieu,32,14,9,4,6,14,8,5
milieux,1,0,0,0,1,0,0,0
milimetrer,1,0,1,0,0,0,0,0
militaire,1,0,0,1,0,0,0,0
militaires,1,0,0,1,0,0,0,0
militarisé,1,0,0,0,0,0,1,0
milite,1,0,0,1,0,0,0,0
militère,1,0,0,0,0,0,0,1
milk,2,0,0,0,1,1,0,0
milka,1,0,0,0,0,1,0,0
millards,1,0,0,0,0,0,1,0
millas,1,0,0,1,0,0,0,0
millau,17,1,0,1,0,17,0,0
mille,50,5,2,3,7,25,5,13
millenium,0,1,0,0,0,0,0,1
milles,3,0,0,0,0,2,0,1
milliardaire,1,0,0,1,0,0,0,0
milliardième,0,1,0,0,0,0,0,1
milliardièmes,0,1,0,0,0,0,0,1
milliards,3,4,0,1,1,2,1,2
milliers,5,0,0,0,2,0,1,2
millimètre,1,0,0,0,0,0,1,0
million,5,1,1,1,0,0,3,1
millionaire,1,1,0,0,0,0,0,2
millions,8,4,1,1,0,3,2,5
millièmes,0,1,0,0,0,0,0,1
millénaire,3,0,0,0,0,0,3,0
milshakes,1,0,0,1,0,0,0,0
mimer,1,0,0,0,1,0,0,0
mimes,2,0,0,0,0,0,2,0
mimi,15,1,3,3,1,2,3,4
mimimun,1,0,0,1,0,0,0,0
mimiques,1,0,0,0,1,0,0,0
mimis,2,0,0,0,1,0,1,0
mimosa,1,0,0,0,1,0,0,0
mimprimer,1,0,0,0,0,0,1,0
min,192,77,37,49,25,79,36,43
mina,1,0,0,0,0,1,0,0
minaj,0,1,0,0,1,0,0,0
mince,118,11,7,39,13,47,16,7
minceee,0,2,2,0,0,0,0,0
minces,0,1,0,0,1,0,0,0
minceur,4,0,0,0,0,0,4,0
minceurr,1,0,0,1,0,0,0,0
mincruste,1,0,0,0,0,0,0,1
mincruster,0,1,0,0,0,0,1,0
mind,2,0,1,0,0,1,0,0
minde,1,0,0,1,0,0,0,0
mine,8,2,2,3,0,0,2,3
minecraft,0,2,2,0,0,0,0,0
minelys,1,0,0,1,0,0,0,0
mineraux,1,0,0,0,0,0,1,0
minet,1,0,0,0,0,1,0,0
minette,3,0,0,0,1,0,0,2
minettes,3,0,0,0,0,0,1,2
mineur,2,0,0,0,1,1,0,0
mineurs,2,0,0,1,0,0,1,0
mini,46,5,2,3,12,17,9,8
minim,1,0,0,1,0,0,0,0
minima,0,1,0,0,0,0,1,0
minimal,2,0,0,0,0,2,0,0
minimaliste,1,0,0,0,0,0,0,1
minimas,2,0,0,0,0,0,0,2
minime,1,0,1,0,0,0,0,0
minimes,0,2,2,0,0,0,0,0
minimoys,1,0,0,1,0,0,0,0
minimum,16,21,10,7,5,5,7,3
minimun,1,0,0,1,0,0,0,0
mininci,1,0,0,0,1,0,0,0
minipro,2,0,0,0,0,2,0,0
minis,2,1,1,0,0,2,0,0
ministere,3,1,1,0,0,0,3,0
ministre,2,0,0,0,0,0,1,1
minitel,1,0,0,0,0,1,0,0
minitélé,1,0,0,0,0,1,0,0
minnnuuutes,1,0,1,0,0,0,0,0
minoritaires,1,0,0,0,0,0,1,0
minorité,1,0,0,0,1,0,0,0
minou,6,0,0,1,0,3,0,2
minouit,1,0,0,0,0,1,0,0
minous,2,0,0,0,0,0,0,2
minquiete,0,1,0,0,0,0,1,0
minquieter,0,1,0,0,0,0,1,0
minquité,1,0,0,1,0,0,0,0
mins,3,0,0,2,1,0,0,0
minscrire,1,1,0,0,0,1,1,0
minspire,2,0,1,0,0,0,1,0
