,Femme,Homme,Age1
multiple,1,1,0
multiples,1,1,0
multiplexe,8,2,0
multiplicateur,1,0,0
multiplication,5,1,0
multiplies,0,1,1
multiplié,1,0,0
multitude,1,0,0
multitudes,1,0,0
mum,8,4,2
mumm,1,0,0
mummmmm,1,0,0
munch,2,0,0
municipal,1,2,0
municipale,0,1,0
municipales,1,0,0
munition,2,0,0
mur,41,17,13
murakami,1,0,0
murat,0,1,0
mure,3,0,0
muret,2,0,0
murier,1,0,0
murmure,1,0,0
murs,2,1,0
murviel,3,0,0
mus,1,0,0
muscat,4,1,0
muscle,10,2,4
musclee,1,0,0
muscles,4,3,1
musclé,4,1,1
musclée,2,0,0
musclés,1,2,0
muscu,6,3,1
muscul,1,0,0
musculaire,1,1,0
musculation,1,1,0
muse,2,0,0
museau,1,0,0
musee,2,0,1
muselière,0,1,0
museum,2,0,0
mushroom,1,0,0
music,4,0,2
musical,1,0,0
musicale,2,2,0
musiciens,3,1,1
musike,1,0,1
musique,62,33,27
musiques,4,6,3
musisue,1,0,0
must,2,1,0
mustang,1,0,0
mustvidéo,1,0,0
musulmans,1,0,0
musée,9,4,1
musées,1,1,0
muséum,1,0,0
mut,1,0,0
mutakami,1,0,0
mutan,3,0,3
mutant,1,1,1
mutation,3,1,1
mutations,1,0,1
muter,1,0,0
mutile,1,0,0
mutualité,0,1,0
mutuel,0,1,0
mutuelle,6,0,0
mutuellement,3,1,1
mutées,1,0,0
muy,4,1,1
mvoi,1,0,1
mvs,1,0,0
mw,4,7,10
mw3,1,1,1
mwa,119,10,79
mwahahahaahajah,1,0,0
mwai,4,0,3
mwala,1,0,0
mwe,2,0,0
mwen,4,0,0
mwm,0,1,1
my,50,16,7
mykonos,1,0,0
mylene,1,0,0
mymy,1,0,0
myspace,0,1,0
mystere,3,2,1
mysterieux,2,0,0
mysthique,1,0,0
mystique,1,1,0
mystère,4,3,2
mystèreeeee,0,1,1
mystérieuse,1,0,0
mystérieux,2,0,0
mythe,3,1,1
mythique,3,0,1
mytho,0,1,1
mythologie,2,0,0
mythoo,0,2,2
myto,1,0,0
myyyyyyy,1,0,0
mzc,1,0,1
mzis,1,0,0
mznvoi,1,0,0
m²,1,0,0
mà,2,0,0
màis,1,0,1
mâchoire,1,2,0
mâle,3,0,0
mãe,0,1,1
mè,9,0,1
mècanik,1,0,1
mèche,1,0,0
mèches,2,0,0
mèm,1,0,0
mème,15,1,0
mèmoire,1,0,0
mène,4,2,0
mènera,1,0,0
mèrde,2,0,0
mère,362,130,152
mèred,0,1,0
mères,2,1,0
mèri,1,0,1
mès,1,0,0
mèson,2,0,0
mètre,8,0,1
mètres,1,3,2
mé,41,22,21
méca,1,0,0
mécanique,1,0,0
mécano,1,0,0
mécanos,1,0,0
mécatros,0,1,0
méchamment,4,1,0
méchanceté,3,0,1
méchant,30,25,16
méchante,41,6,8
méchantes,3,0,0
méchants,3,0,0
méchnat,1,0,0
méchnates,1,0,0
mécrit,1,0,1
mécréan,1,0,0
médaille,1,0,0
médailles,0,1,0
médecin,37,14,7
médecine,8,6,0
médecins,3,1,0
médeciñ,1,0,0
média,0,1,0
médiat,1,0,1
médiateur,1,0,0
médiateurs,0,1,1
médiathèque,2,2,1
médiation,1,0,0
médiatrice,1,0,0
médical,3,6,4
médicale,3,0,0
médicament,5,2,1
médicamenteux,0,1,0
médicaments,6,2,1
médicaux,1,0,0
médicinal,1,0,0
médisant,1,1,2
méditation,2,0,1
méditerranée,2,1,0
méditerranéen,0,1,0
médié,1,0,0
médiéval,1,0,0
médiévale,0,2,2
médoc,1,0,0
médocs,5,1,0
méfie,4,0,0
méfier,2,0,0
méfies,1,0,0
méga,24,6,2
mégabit,0,1,0
mégapotes,0,1,1
mégapressé,0,1,1
mégatot,0,1,1
méjannes,10,0,0
mél,3,0,0
mélancolie,1,0,0
mélancolique,1,1,0
mélange,12,4,1
mélangeant,0,1,0
mélanger,2,2,1
mélanges,1,0,0
mélangés,0,1,0
mélioratif,0,1,1
mélo,3,0,0
mélodie,1,0,0
mélodrame,1,1,1
mémage,1,0,0
méme,326,3,7
mémes,2,0,0
mémoire,40,7,1
mémorisé,1,0,0
mémère,1,1,0
mémé,8,0,0
mémés,1,0,0
ménage,31,7,2
ménager,0,1,0
ménages,1,0,0
ménagez,1,0,0
ménagères,1,0,0
ménerve,2,1,1
ménerves,0,1,0
méprise,2,1,0
mére,5,2,3
mériadeck,1,0,0
méritait,2,1,0
mérite,16,8,1
mérites,2,0,0
mérité,3,4,0
mésentente,1,0,0
méson,1,0,0
méta,0,2,2
métal,4,2,2
métaphore,0,1,0
méthamphétamine,1,0,0
méthode,14,2,1
méthodes,2,0,0
méthodiquement,0,1,0
méthodo,2,0,0
méthodologie,1,0,0
métier,14,1,4
métiers,1,2,0
métisse,1,0,0
métonne,1,0,1
métr,1,0,0
métrage,0,2,0
métre,1,0,0
métro,22,17,5
métros,1,0,0
météo,8,1,1
mêle,1,0,0
mêler,1,1,0
mêlée,0,1,0
mêmes,3,3,1
môman,2,0,2
mûres,1,2,0
műde,1,0,0
na,44,7,21
naaaaaaaaaaaan,1,0,0
naaaaaaaaaaaannnnnnnnnnnnn,0,1,1
naaaaaaaaaan,2,0,0
naaaaaaaaan,0,1,0
naaaaaaaan,1,0,0
naaaaaan,1,1,0
naaaaan,0,2,0
naaaan,5,0,0
naaaannn,1,0,0
naaaannnnn,1,0,0
naaah,1,0,0
naaan,10,0,2
naaann,1,0,0
naaannn,10,0,0
naaannnn,1,0,0
naan,3,0,0
naannn,15,0,0
naannnn,1,0,0
nabo,0,1,0
nacelle,1,2,1
nach,1,0,0
nachher,1,0,0
nachmittag,1,0,0
nachos,1,1,0
nacht,0,1,1
nacre,1,0,1
nada,6,2,2
nadie,1,0,1
nadine,0,1,0
nagais,1,0,0
nage,17,10,6
nageant,1,0,1
nagent,0,1,0
nager,14,21,19
nages,4,0,0
nageur,1,0,0
nageuse,2,0,0
nagé,1,1,2
nah,17,1,14
naheulbeuk,0,2,2
nai,4,4,1
naie,0,1,0
naifs,1,0,0
nailed,1,0,0
naimare,1,0,0
nain,2,0,0
naine,1,0,0
nainophile,1,0,1
nains,1,0,0
naintenant,1,0,0
nais,2,0,0
naise,1,0,0
naiserie,1,0,0
naissance,3,2,2
naitre,2,0,0
naive,4,1,2
naives,1,0,0
naladd,1,0,0
nam,5,0,3
name,2,1,1
namorada,1,0,1
namour,3,0,2
namoureu,1,0,1
nan,554,342,328
nana,13,7,2
nanana,1,0,0
nanas,0,1,0
nancy,10,1,2
nanie,1,0,0
naniv,0,1,0
nannn,1,0,0
nano,3,0,0
nanosecondes,0,3,0
nant,1,0,0
nanterre,0,1,0
nantes,2,6,1
nap,1,0,0
napalm,0,1,0
napelle,1,0,0
naples,0,1,0
napo,1,0,0
napolitain,1,0,0
napoule,1,0,0
nappe,2,0,0
nappele,1,0,0
naquet,1,0,0
narbomne,1,0,0
narbonne,7,4,2
narcissique,1,0,0
nargue,0,1,0
narguent,1,0,0
narguer,0,5,0
narguerai,0,1,0
narines,1,1,0
narre,0,1,0
narrete,0,1,0
narriv,1,0,0
narrive,2,2,0
narriverais,1,0,0
naruto,0,4,4
nas,1,0,0
nase,2,0,0
nassima,1,0,0
natale,2,0,0
natation,10,9,4
nathalie,1,0,0
nation,1,3,2
national,3,1,0
nationale,2,0,1
nationalité,1,0,1
nationaux,2,0,0
nattend,1,0,0
nattes,2,0,1
naturalisés,0,1,0
nature,18,6,7
naturel,8,7,5
naturelle,4,0,0
naturellement,5,2,1
naturels,3,0,0
natures,0,1,0
naturiste,0,1,0
naturwissenchaftlichen,1,0,1
naufrages,1,0,0
naugthy,1,0,0
naura,0,2,0
nauraient,0,1,0
naurais,0,1,0
nauras,1,0,0
naurmalemon,1,0,0
nausè,1,0,0
nausée,4,1,1
nausées,0,1,1
nauséeuse,0,1,0
nautilis,0,1,1
nautilus,1,0,0
navai,1,0,0
navait,2,0,1
navale,2,0,0
navet,2,0,0
navette,9,3,0
navettes,2,1,0
navigation,2,0,0
navigo,3,0,1
navigué,1,0,0
navoir,0,1,0
navrant,2,0,0
navré,0,1,0
navrée,3,0,0
nawak,1,0,0
naz,3,1,1
naze,43,4,16
nazes,1,0,0
nazgul,0,1,1
naï,1,0,0
naïve,3,0,0
naïvement,1,0,0
nb,4,0,1
nba,0,2,0
nbre,1,0,0
nc,1,0,0
ncis,12,0,1
nd,1,0,0
necesitamos,1,0,0
necessaire,1,1,0
necessite,1,0,0
necoute,0,1,0
necrose,2,0,0
nee,2,0,0
need,6,1,0
needed,1,0,0
neg,2,0,0
negatif,4,0,0
negatifs,2,0,1
negative,1,0,0
nego,1,0,0
negociations,1,0,0
negocier,1,0,1
negociero,1,0,0
negosier,1,0,1
negozio,1,0,0
negro,1,3,0
neige,11,5,0
neiger,5,1,1
neiges,2,0,0
neigé,1,0,0
neiiiiige,1,0,0
neil,1,1,0
nein,1,0,0
nel,1,0,0
nelly,0,1,0
nelson,2,0,0
nemo,1,1,2
nempeche,1,3,1
nems,4,0,0
nen,1,3,1
nenettes,1,0,0
neozélandé,0,1,1
nere,1,0,0
nerf,4,1,3
nerfs,31,5,6
nerveuse,3,0,3
nerveuses,1,1,0
nerveux,3,1,1
nervous,0,2,0
nes,2,0,0
nesait,1,0,0
nespresso,0,1,0
nesqueick,1,0,0
nesquick,1,0,0
nessuno,2,0,0
nest,9,6,1
nestle,1,0,0
net,23,11,4
netai,1,0,0
netait,1,0,0
nete,1,0,0
netes,1,0,0
netnet,1,0,0
netoi,1,0,0
netoyage,2,1,0
netoyer,1,0,0
netoyè,2,0,0
nets,2,0,0
nette,2,1,0
nettement,3,2,1
netto,2,0,0
nettoie,4,0,0
nettoierai,1,0,0
nettoyage,2,1,0
nettoyait,1,0,0
nettoyer,12,0,0
nettoyé,2,3,1
network,0,1,0
neuf,79,22,12
neufbox,1,0,0
neuille,1,0,1
neumeu,1,0,0
neupneup,1,0,0
neuro,3,1,0
neurocellulaire,0,1,0
neurochimie,0,1,0
neurologue,2,0,0
neurones,6,0,0
neurosciences,0,1,0
neutralisent,1,0,0
neutralité,1,0,0
neutre,6,2,0
neutres,1,0,0
neutrinos,0,9,0
neutrogena,1,0,0
neutrons,0,1,0
neuuuuuutrogena,1,0,0
neuve,2,2,1
neuves,1,0,0
neuveu,4,0,3
never,3,0,0
neveu,1,0,0
new,40,12,16
newbee,1,0,0
news,96,19,5
newsletter,2,0,0
newss,0,1,1
newz,1,0,0
next,4,1,0
nez,48,6,7
ngh,1,0,0
nh2,1,0,0
nha,1,0,1
nhesite,0,10,0
nhesites,1,0,0
nhest,1,0,1
ni,193,30,35
ni2,1,0,0
nia,2,1,1
niaaa,1,0,0
niaaaaaises,1,0,0
niai,3,0,0
niais,4,0,0
niaise,13,0,0
niaisement,1,0,0
niaiserie,6,0,0
niaises,3,0,0
niania,6,0,0
nianiania,2,0,0
nianianiaaa,1,0,0
niant,0,1,0
niark,2,0,0
niarkniark,1,0,0
niarkniarkniark,1,0,0
nic,5,0,0
nicaragouenne,1,0,0
nice,30,9,5
nichez,1,0,0
nichons,1,0,0
nickel,13,14,1
nicker,3,0,0
nickers,1,0,0
nicki,0,1,0
nicolas,3,1,1
nicole,2,0,0
nicotine,1,0,0
nicz,1,0,0
nid,2,0,0
nidouille,1,0,0
nie,2,1,1
niente,3,0,0
nier,4,0,1
nierai,2,0,0
nietzche,1,0,1
nietzsche,3,0,2
niez,1,0,0
nif,3,0,0
niger,1,0,0
nigga,4,0,0
night,21,11,5
nigot,1,0,0
nik,1,0,1
nike,5,2,2
nikel,37,8,4
niker,1,1,1
niké,3,0,3
nime,2,0,0
nimes,61,11,1
nimica,2,0,0
nimois,1,0,0
nimp,2,2,1
nimporte,3,11,2
nimportekoi,0,4,4
nimps,1,0,0
nina,1,0,0
nine,1,0,0
ninette,1,0,0
ninimobile,1,0,0
ninja,1,0,0
ninou,3,0,0
ninouchka,2,0,0
ninpote,1,0,0
nintendo,1,0,0
nion,1,0,0
niort,9,0,0
nip,1,0,0
nique,8,3,1
niquel,11,7,5
niquer,8,7,3
niquons,1,0,0
niqué,3,2,3
niquée,1,0,1
nir,1,0,0
nirvana,1,1,1
nis,3,0,0
niste,1,0,0
nistelroy,0,1,1
nitration,1,0,0
nivea,2,0,0
niveau,114,42,21
niveaux,3,2,0
nivesse,1,0,0
nivo,2,3,3
nièce,2,2,0
njr,1,0,0
njr12,1,0,1
njut,2,0,2
nm,1,0,0
nmbre,1,0,0
nmbreux,1,0,0
nme,1,0,0
nn,283,69,231
nnaaaaannn,1,0,0
nni,1,0,0
nniiiii,1,0,0
nnm,1,0,1
nnn,1,0,0
nnnnn,0,1,1
nnnnnnnnnnnnnnnnnnnnn,1,0,0
no,81,41,23
no2,1,0,0
noamie,1,0,1
nobel,4,0,0
noblesse,1,0,0
noche,1,0,0
noches,3,1,0
noctilien,0,1,0
nocturne,3,0,1
noel,155,18,26
noeud,5,1,0
noeuds,1,0,0
nogent,0,21,21
nogentais,0,2,2
noguchi,0,1,1
noi,2,0,0
noie,1,0,1
noiembrie,1,0,0
noir,94,10,21
noircis,0,1,0
noirciseur,1,0,0
noire,18,8,3
noires,3,0,0
noirs,8,1,1
noises,0,1,0
noisette,2,2,1
noisettes,1,0,1
noisy,1,0,0
noite,1,0,0
noites,0,1,1
noix,5,6,4
nokia,3,0,0
nolife,3,0,2
nom,110,39,29
nom_1,7,2,2
nom_10,20,8,4
nom_11,13,0,0
nom_12,3,1,1
nom_2,2,0,0
nom_3,12,4,0
nom_4,31,12,5
nom_5,98,30,21
nom_6,112,44,25
nom_7,97,45,28
nom_8,55,20,14
nom_9,30,12,6
nom_pre_2,1,0,0
nom_pre_4,1,1,0
nom_pre_5,1,1,1
nom_pre_6,6,0,0
nom_pre_7,4,0,1
nom_pre_sur_3,1,0,0
nom_pre_sur_4,1,0,0
nom_pre_sur_5,1,2,2
nom_pre_sur_6,1,0,1
nom_pre_sur_7,4,0,0
nom_pre_sur_8,1,0,0
nom_sur_4,0,3,2
nom_sur_5,4,1,1
nom_sur_6,6,0,0
nom_sur_7,6,7,1
nom_sur_9,0,1,0
nomale,1,0,0
nombre,18,6,6
nombres,0,1,1
nombreuse,2,0,1
nombreux,11,1,1
nombril,1,1,0
nominé,0,1,1
noms,21,4,3
non,3723,900,727
nonchalamment,0,1,1
nones,0,1,0
nonje,1,0,0
nonne,1,0,0
nonnnn,1,0,0
nono,3,0,0
nont,1,1,0
noo,1,0,0
noob,3,4,4
nooi,1,0,0
noon,20,2,6
noonn,0,2,2
noonnn,0,1,1
nooo,3,1,0
nooon,14,1,4
nooonn,0,2,2
nooonnn,0,2,2
noooo,1,0,0
noooon,11,2,4
noooonn,0,1,1
nooooo,1,0,0
nooooon,5,0,0
noooooon,1,1,0
noooooooooooooooon,0,1,1
nooote,1,0,0
noous,1,0,1
nop,2,8,0
nope,9,0,1
norbere,1,0,0
nord,26,8,1
nordul,1,0,0
noris,0,1,1
normal,211,63,65
normale,17,3,4
normalememt,0,1,0
normalemen,1,0,0
normalement,187,52,40
normalemet,1,0,0
normales,2,1,0
normallement,3,0,0
normalment,2,1,0
norman,2,0,0
normandes,1,0,0
normandie,4,0,0
normaux,5,6,6
norme,4,2,2
norris,1,2,1
nose,2,0,0
nostalgie,4,2,1
nostalgique,2,0,2
nostrum,1,0,0
nosy,0,1,0
not,43,13,17
notaire,1,0,0
notais,1,0,0
notamment,4,4,1
notations,1,0,0
note,108,26,25
notebook,0,1,0
noter,13,1,0
noterai,1,0,0
noteras,1,0,0
notes,62,9,10
nothing,10,3,6
nothomb,1,0,0
notice,2,0,0
notif,2,1,1
notification,0,1,0
notifications,2,0,0
notifs,0,1,0
notion,4,0,0
notions,2,1,1
notr,1,0,0
notres,1,2,1
notte,6,0,0
noté,23,9,4
notée,1,0,0
notés,1,0,0
nou,12,7,2
noubli,2,0,0
noublie,1,2,2
noublierai,0,1,0
noublies,1,0,0
noubliez,0,1,0
noublié,1,0,0
nougat,3,0,0
nougatine,1,0,0
nouille,0,4,0
noun,2,0,0
nounou,11,4,1
nounouille,0,1,0
nounour,1,0,1
nounours,3,2,0
nounourse,1,0,1
nouri,1,0,0
nourir,0,1,0
nourisse,1,0,0
nourit,0,1,1
nourrir,4,1,0
nourrissant,1,0,0
nourrisse,0,1,0
nourriture,6,0,1
nousavon,1,0,0
nouuus,2,0,0
nouuuus,1,0,0
nouveau,118,17,17
nouveaute,1,0,0
nouveauté,2,0,0
nouveautés,1,0,0
nouveaux,21,10,4
nouveauxd,1,0,0
nouvel,22,10,4
nouvele,3,0,1
nouveles,1,0,0
nouvell,1,0,0
nouvelle,133,28,21
nouvelles,186,26,14
nouvo,5,1,1
nov,8,2,0
nova,1,1,0
novara,0,1,0
novembre,61,16,7
noves,2,0,0
novice,3,0,0
novità,1,0,0
novo,1,0,0
now,15,6,2
noyau,1,0,0
noyel,1,0,0
noyer,2,0,0
noyyyyeeeel,1,0,0
noyée,1,0,0
noze,1,0,0
noé,1,0,0
noël,53,19,4
np,4,1,1
npqt,1,0,0
npt,3,0,0
nr,1,0,0
nrj,2,4,4
nrj12,1,0,0
ns,86,17,6
nt,1,0,1
nt1,4,1,0
ntc,1,0,0
ntecc,1,0,0
nu,30,5,0
nuage,6,0,0
nuages,3,2,2
nuageux,0,1,0
nuance,5,2,1
nucléaire,2,3,0
nucléaires,0,2,0
nucléotides,0,1,1
nudisme,0,1,1
nue,6,1,2
nues,1,1,0
nuevo,1,0,1
nugget,1,0,0
nuggets,2,0,0
nui,16,1,3
nuii,1,0,0
nuiiit,2,0,1
nuiit,1,0,0
nuire,1,0,0
nuisances,1,0,0
nuisette,1,0,1
nuit,806,284,228
nuitcha,1,0,1
nuits,13,3,1
nuitée,0,1,0
nuiut,1,0,1
nul,145,63,43
null,1,0,0
nulle,34,2,10
nulleee,0,1,1
nulles,2,1,0
nullissime,1,0,0
nulliter,1,0,0
nullleee,0,1,1
nuls,13,0,1
num,100,27,37
numa,2,0,0
numai,2,0,0
numb3rs,1,0,0
number,1,4,4
numerateuuuur,1,0,0
numericable,2,0,0
numerique,1,0,0
numero,31,6,4
numeroo,1,0,0
numeros,1,0,0
numeroté,1,0,0
nums,4,1,3
numèro,1,0,0
numéricable,1,0,1
numérique,10,0,0
numéro,134,39,21
numéros,11,0,0
nun,1,0,1
nunca,0,1,1
nunchuk,1,0,0
nunuche,2,0,1
nuove,1,0,0
nuque,0,1,0
nut,2,0,0
nutella,10,6,6
nuttellater,1,0,0
nuuuiiiiiit,0,1,0
nuuul,1,0,0
nuuulleuh,1,0,0
nuuuuit,1,0,0
nuuuul,1,0,0
nuuuuulle,1,0,0
nuxe,1,0,0
nuùm,1,0,0
nveau,5,1,0
nvelle,2,1,0
nvelles,1,1,0
nvl,7,0,0
nvll,2,0,0
nvlls,2,0,0
nvls,1,0,0
nvoyer,1,0,0
nvx,3,2,0
ny,6,3,4
nyc,1,0,0
nyctalope,1,0,0
nympho,3,0,1
nyyy,1,0,0
nz,0,1,1
nzl,2,0,0
nzws,1,0,0
nº,0,1,0
nächsten,1,0,0
nè,2,0,0
nèsite,1,0,0
nèxiste,1,0,0
né,11,2,3
néanmoins,2,1,0
néant,1,1,1
nécessaire,10,1,1
nécessairement,1,0,0
nécessaires,0,1,0
nécessite,1,0,0
nécessité,5,0,4
nécromanciens,0,1,1
nécéssité,1,0,0
née,9,1,1
nées,1,0,0
négatif,7,1,4
négatifs,1,0,0
négation,1,0,0
négativement,1,0,0
négligeables,1,0,0
négliger,1,0,0
négligée,1,0,0
négo,1,0,0
négociable,1,0,0
négociables,1,0,0
négociation,2,1,1
négociations,1,0,1
négocie,3,1,0
négocier,7,2,0
négocié,2,0,1
némo,1,0,1
nénuphare,1,0,0
néo,0,1,0
néologismes,1,0,0
néozélandaise,1,0,0
néozélander,0,1,1
nés,3,1,0
nésite,1,0,0
nétè,1,0,0
névralgie,0,1,0
névrose,2,0,0
névroses,0,1,0
névrosée,1,0,0
névrosés,1,0,0
nîmes,13,2,0
nîmoise,1,0,0
nós,0,2,2
nô,2,7,0
nöel,1,0,0
nön,1,0,0
nœuds,1,0,0
o0,1,0,0
o2,0,1,1
o_,1,0,1
o_______o,0,1,1
o_o,52,11,9
oa,1,0,0
oai,1,0,1
oas,1,0,0
ob,1,0,0
obama,1,1,0
obar,2,3,0
obduction,1,0,1
obeissance,1,0,0
obeit,2,0,0
oben,1,0,0
ober,1,0,0
oberge,1,0,0
oberkampf,0,2,0
oberlé,1,0,0
obession,1,0,0
objectif,10,3,5
objectifs,3,1,0
objective,3,0,0
objectivement,3,0,0
objectivité,0,1,0
objet,6,2,0
objets,1,0,0
oblig,1,0,0
obligation,1,2,0
obligations,0,1,0
obligatoire,11,2,0
obligatoireet,1,0,0
obligatoirement,0,1,0
obligatoires,3,0,0
obligatoriu,1,0,0
oblige,16,1,0
obligee,4,0,0
obliger,10,3,2
obligera,1,0,0
obligerait,0,1,0
obliges,1,0,0
obligé,50,18,15
obligée,20,4,3
obligés,1,1,2
obs,1,0,0
obscur,1,1,0
obscure,1,0,0
obseques,1,0,0
observation,7,2,0
observations,1,1,0
observée,1,1,0
obsession,2,1,1
obsessionnel,1,0,0
obstacle,2,0,0
obstacles,1,0,0
obstine,1,0,0
obséde,2,0,1
obsédé,1,0,0
obt,2,0,0
obtenir,4,3,1
obtenu,4,1,1
obtenue,0,1,1
obtiens,1,0,0
obtient,1,0,0
obviously,1,0,0
obèse,4,0,1
obéir,1,0,0
obéisante,1,0,0
obéissante,1,0,0
oc,1,0,1
ocal,1,0,0
occas,12,0,0
occase,4,0,2
occases,1,0,0
occasion,29,12,9
occasionnel,1,1,1
occasionnellement,0,2,2
occasions,3,1,0
occaz,5,2,0
occi,0,1,0
occitan,3,1,0
occitanie,20,2,1
occulte,1,0,0
occupait,2,0,0
occupation,2,0,0
occupations,2,0,0
occupe,48,10,6
occupee,2,0,0
occupent,3,0,0
occuper,28,8,5
occupera,5,0,0
occuperai,1,0,0
occuperais,1,0,0
occuperait,1,0,0
occupes,4,0,1
occupé,29,12,14
occupée,23,4,1
occupés,1,0,0
occurence,4,1,3
occurrence,2,0,0
ocho,1,0,0
oci,11,7,3
ocmbien,1,0,0
ocmme,2,0,0
ocolat,1,0,0
ocomme,1,0,0
oct,4,3,0
octaèdre,1,0,0
octaèdrique,1,0,0
octobe,1,0,0
october,0,1,0
octoberfest,1,0,0
octobre,55,26,14
octodons,1,0,0
octylester,0,1,0
ocune,2,0,2
ocup,1,0,0
ocuper,1,0,0
ocupé,0,1,0
océan,4,0,0
océans,0,1,1
odaymusique,0,1,0
odda,1,0,0
odeon,1,0,0
odepuis,1,0,0
odeur,14,3,6
odeurs,1,0,0
odoriférant,1,0,0
odyseeum,1,0,0
odysetm,1,0,0
odyseum,2,1,0
odyss,1,0,0
odyssea,0,1,0
odysseum,35,2,2
odysséum,7,2,0
oe,7,0,6
oedeme,1,0,0
oedipe,1,0,0
oeganiser,0,1,1
oeil,31,5,8
oeu,1,0,0
oeudipe,1,0,0
oeuf,5,0,1
oeufs,6,1,1
oeuille,0,1,1
oeuvre,6,1,2
oeuvres,2,1,0
of,39,15,7
ofai,1,0,0
ofait,1,0,0
ofaite,1,1,2
ofc,0,1,0
ofet,1,0,0
off,8,3,2
offenser,1,0,0
offert,14,9,3
offerte,3,0,0
offerts,0,1,0
office,10,0,0
officialisation,1,0,0
officialisé,1,0,0
officiel,10,2,1
officielement,2,0,0
officielle,6,1,1
officiellement,7,3,3
officielles,1,0,0
officieuse,1,0,0
offrais,2,0,1
offre,25,5,2
offrent,1,0,0
offres,10,2,0
offrez,1,0,0
offri,1,0,0
offrir,16,2,5
offrira,2,0,0
offrirai,1,1,0
offrire,1,0,0
offusquerais,0,1,0
oftalmo,1,0,1
ofysseum,1,0,0
oggi,2,0,0
ogm,1,0,0
ogres,2,0,0
ogénial,1,0,0
oh,626,140,138
ohayo,1,0,0
oheeee,1,0,0
oher,1,0,1
ohh,10,10,16
ohhh,5,7,10
ohhhh,3,0,2
ohhhhh,1,2,2
ohhhhhh,1,3,0
ohhhhhj,0,1,0
ohla,1,0,0
ohlala,1,0,0
ohlalala,1,0,0
ohlalalalalalalala,1,0,0
ohlaqst,1,0,0
oho,1,0,0
ohoh,2,1,0
ohohoh,3,0,0
oi,3,0,0
oib,0,1,1
oie,4,1,0
oif,1,0,0
oignon,2,3,0
oignons,3,3,0
oii,1,0,0
oil,1,0,0
oim,2,1,2
oinj,1,0,1
oint,1,0,1
oiseau,7,1,2
oiseaux,1,1,1
oisillon,1,0,0
oiu,1,0,1
oj,1,0,0
ojd,43,0,32
ojdui,0,1,0
ojordhui,1,0,0
ojordui,1,0,1
ojourdhui,4,0,2
ojourdui,6,3,2
ok,3057,826,720
okaaaaay,1,0,0
okaaaay,0,1,1
okaay,3,0,0
okay,174,20,20
okayyy,1,0,0
okayyyyyyyyy,1,0,0
okaz,0,1,0
oke,2,0,2
okeee,1,0,0
okei,5,0,5
okeii,2,0,2
okey,23,90,18
oki,283,52,29
okii,10,0,6
okiii,2,0,1
okiiii,1,0,0
okiiiii,2,0,0
okioki,1,0,0
okj,1,0,0
okk,24,22,32
okki,1,0,1
okkiiii,0,1,0
okkk,5,3,3
okkkk,2,3,4
okkkkk,0,2,2
okkkkkk,0,2,1
okkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0,1,1
okko,0,4,4
okkéééé,0,1,1
okok,104,3,39
okupera,1,0,0
oky,2,0,1
okè,1,0,0
ol,3,0,0
ola,13,3,0
olaces,0,1,0
olah,1,0,1
olaketàl,1,0,0
olala,16,0,1
olalala,7,0,1
olalalala,4,0,0
olalalalal,1,0,1
olalalalala,2,0,0
olalalalalalala,1,0,0
olbigé,1,0,0
old,0,2,1
oldel,1,0,0
oldschool,1,0,0
oleeeee,1,0,0
olive,1,2,0
oliver,3,0,0
olives,4,1,0
olivier,1,1,0
olllalalalalal,1,0,0
olmedo,1,0,0
olo,1,0,0
olol,1,0,1
olonnes,1,0,0
olorin,1,0,1
olp,1,0,0
olus,0,1,1
olvidare,0,1,1
olvido,0,1,0
olympique,4,1,1
olé,0,2,2
om,14,6,1
omagad,0,1,0
oman,2,0,2
omar,3,0,1
ombre,3,1,0
omelette,3,0,0
omelettes,1,1,0
omettre,0,1,1
omfg,2,0,0
omg,5,3,4
omgg,1,0,1
omission,1,0,0
omme,1,0,0
omment,2,0,2
omoin,0,1,1
omoplate,1,0,1
omoplates,1,0,0
omoplatte,1,0,0
ompression,1,0,0
ona,0,2,1
oncle,32,10,6
onctions,0,1,1
onde,5,2,1
ondes,8,2,1
one,8,6,2
oneshot,3,0,0
ongle,4,2,3
ongles,4,2,0
onglet,3,1,0
onglets,1,0,0
only,1,3,0
onn,2,0,0
onnva,1,0,0
ons,1,0,1
ontario,1,0,0
onte,1,0,1
ontologie,2,0,0
ontparlé,1,0,0
ontre,0,1,1
onverra,1,1,0
onze,6,2,2
oo,46,15,18
ooh,41,0,3
oohh,0,1,0
oohhhh,1,0,0
ook,22,0,2
ool,1,0,0
ooo,1,0,0
oooh,62,0,3
ooohh,1,0,1
ooohhhhhh,1,0,0
oook,5,0,1
oooo,2,0,0
ooooh,20,0,6
oooohhhhh,1,0,0
ooook,1,0,0
ooooo,1,0,0
oooooh,9,0,0
oooooohlala,1,0,0
ooooooooh,1,0,0
ooooooooooooh,1,0,0
ooooooooooooooooooohh,1,0,0
oooooooooooooooooooooooooooh,1,0,0
oooooooooouuuuuuuuuuuu,0,1,1
oooooor,1,0,0
ooooouf,0,1,1
oooou,1,0,0
oooouuuuuhhhhh,0,1,0
oooowi,1,0,0
ooouah,3,0,0
ooouf,1,0,0
ooouh,1,0,1
